freq,Base,H35L,H35R,H50L,H50R,BE50L,BE50R,BE70L,BE70R,BE50BL,BE70BL
0.203125,0.5153395873437104,0.32987830458697015,0.33011414314578186,0.3495880365712834,0.36248898278355074,0.3303914023600006,0.3692450056828027,0.29344132340682766,0.33835315401432564,0.34229232721058656,0.21047134716724356
0.21875,0.5511757677026867,0.362604240725613,0.3360671733938816,0.3775465237351327,0.40607168365868135,0.399382135403356,0.3680460602584456,0.2665720708102583,0.3537049303491183,0.39688224325004634,0.2593809153478864
0.234375,0.6044355781360917,0.39231793638009793,0.358047010071867,0.36963771789442146,0.40934261743182004,0.39709622363712377,0.3811408589870541,0.28010752815029466,0.46159676372236064,0.38845125463318503,0.2958988459968215
0.25,0.6535874202530352,0.41006789123039006,0.3698130745523106,0.38545038410210647,0.3748908045871275,0.4221328777441491,0.4560720648469117,0.355958636364409,0.4805100658139056,0.45676041603520723,0.33651170655535545
0.265625,0.6341492319603499,0.4136403385793225,0.3940459713170909,0.3369275691885994,0.4214459361689939,0.4538560256409693,0.5353069308875656,0.3385682027319907,0.45506967080591115,0.4553649670061888,0.2983458036622537
0.28125,0.6159313855198801,0.451835131569921,0.42918842786880623,0.4006483321512176,0.45803985414044085,0.485593458764886,0.5529046836388126,0.38862965195710936,0.47137171413340084,0.40083424113155786,0.2959970637315084
0.296875,0.6524360116230897,0.41951061535495304,0.46116746946655346,0.46713742417785026,0.5047579144008446,0.5490883532752017,0.5901540012631246,0.37557578923764584,0.5001662033081092,0.46186078222311444,0.36163559724794314
0.3125,0.6176431721776087,0.42353894608146025,0.4603465374250817,0.4670604867951743,0.46309217388049445,0.5493507552664633,0.5882755160616251,0.41018476335892623,0.4694379957306883,0.4534982760130823,0.3135596844749544
0.328125,0.5725893204109139,0.4460440915195488,0.5103854644286067,0.4262825666660963,0.44832342144744464,0.5862121888398305,0.5849630054547795,0.44984352789571885,0.5184948964568997,0.4842407180071976,0.35362822807306094
0.34375,0.5164606366975746,0.47896789832887926,0.514070944070775,0.45875554981857003,0.4928414823538874,0.5794000973048918,0.5424982798425151,0.4439968951208433,0.5034544941528609,0.4591286135154331,0.3574891799356165
0.359375,0.47851196107091976,0.4399241425532856,0.45942569834587793,0.4231489150703888,0.46689769169455786,0.4623609843227272,0.5082972759481177,0.4242153999946624,0.5027786404969411,0.4658738920386824,0.405416393091633
0.375,0.41407113605969315,0.38059404425163634,0.3907775724786071,0.34654671259102865,0.4101238612157546,0.4681188305199827,0.47207660358246123,0.442951586363003,0.46479320943687735,0.40487163067932724,0.41808123298814265
0.390625,0.3862524781661032,0.355631262236631,0.33212721843945425,0.32439661945456133,0.3656499710276661,0.49973005918993896,0.43305839243539557,0.47098974568594726,0.4224245167721979,0.3653545902908352,0.33819608590101874
0.40625,0.3979886216535443,0.2715204019256253,0.29584557499341085,0.2713882161822552,0.3164470496634556,0.3791874490062001,0.36317680358922844,0.423991340278242,0.3993090886384275,0.3718008751517226,0.3141094075015425
0.421875,0.32453073235494395,0.29870115907447736,0.3088362159229093,0.1960005260406947,0.26116253957188457,0.31779029345589105,0.32129128188916606,0.4021722903938154,0.3657808236407217,0.30472075840139423,0.30081938677453524
0.4375,0.30469927943331077,0.2452364284307929,0.31694057982275653,0.23662432333474498,0.2567524581531222,0.3232314346717993,0.29234936949592716,0.34834866060922665,0.30512317875518896,0.23598448115766285,0.30004837313782595
0.453125,0.292044159116016,0.2577592183433574,0.2618852134652971,0.2230250824189382,0.2380317366855638,0.3048433957113264,0.2739260458041201,0.3067070399550466,0.26932736391360523,0.22667260384618557,0.23345625046689902
0.46875,0.27553014150331007,0.22347692326095195,0.210918575784435,0.2609485321660209,0.2219121579921099,0.2585693302228979,0.21706826217075878,0.326093094645529,0.2729965984412989,0.24218894986135542,0.17466436419463202
